書名,ISBN/EAN,作者,出版社,product_id
"做自己的太陽, 去看你想看的星星和月亮",9786269262441 ,角子,,10012020052683000000000 
摘柿記,9786263148215 ,林琪香,,10012043902682900000000 
"人生只有兩件事, 關你屁事和關我屁事 (暢銷典藏改版)",9786264023368 ,老楊的貓頭鷹,,10012017642683000000000 
惡靈剋星 2 (首刷限定版),9786260244835 ,新翔子,,10012150962682800000000 
進烤箱的好日子,9789869202176 ,李佳穎,,10012030392682500000000 
轉型正義之路: 島嶼的過去與未來 (2022年增訂版),9789862943359 ,周婉窈,,1001119012682310000000 
"活用技術分析寶典: 飆股上校朱家泓40年實戰精華, 從K線、均線到交易高手的養成祕笈 上、下冊 (2冊合售)",9786267549087 ,朱家泓,,10012011762682600000000 
葬送的芙莉蓮公式漫迷手冊 (全),9786260237530 ,山田鐘人/ 原作; 阿部司,,10012150962683000000000 
傲慢與偏見 (200週年紀念版),9789865671655 ,珍．奧斯汀,,1001180772448110 
葬送的芙莉蓮 13,9786260216481 ,山田鐘人/ 原作; 阿部司,,10012150962682600000000 
"抄寫英語的奇蹟: 1天10分鐘, 英語和人生都起飛",9789861366838 ,林熙 Brett Lindsay,,10012036172682500000000 
SPY X FAMILY間諜家家酒 16,9786260264031 ,遠藤達哉,,10012150962683000000000 
"長女病: 我們不是天生愛扛責任, 台灣跨世代女兒的故事",9786269917488 ,張慧慈 (小花媽),,10012012142682800000000 
矛盾,9786264091886 ,梁貴子,,10012122452683000000000 
惡靈剋星 4 (首刷限定版),9786260249793 ,新翔子,,10012150962682900000000 
"自學日語: 看完這本就能說! 專為華人設計的日語教材, 50音+筆順+單字+文法+會話一次學會! (附QR碼線上音檔/真人發音教學影片)",9789869878494 ,許心瀠,,1001271692681940000000 
解答之書: 專屬於你的人生答案,9789576580833 ,卡羅．波特,,1001119732726160 
小書痴的下剋上Fanbook 9: 為了成為圖書管理員不擇手段!,9789573343882 ,香月美夜,,10012020052683000000000 
活出你的本來面目: 獻給現代人的榮格心靈指南,9786263587854 ,鐘穎,,10012014082683000000000 
與成功有約: 高效能人士的七個習慣 (30週年全新增訂版),9789865535667 ,史蒂芬．柯維/ 西恩．柯維,,1001122732681930000000 
葬送的芙莉蓮 9,9786263473713 ,山田鐘人/ 原作; 阿部司,,1001129222682300000000 
葬送的芙莉蓮 1,9789572666029 ,山田鐘人/ 原作; 阿部司,,1001129222682000000000 
小書痴的下剋上: 為了成為圖書管理員不擇手段! 短篇集 III,9789573343899 ,香月美夜,,10012020052683000000000 
"我畢業五年, 用ETF賺到400萬: 每月1, 000元就能開始! 不用兼差斜槓, 兩檔ETF投資組合, 年賺20%以上",9789579654609 ,PG財經筆記,,1001191562813500 
"想哭就哭吧, 你不需要那麼懂事",9786269847983 ,Peter Su,,10012030392682800000000 
"別對每件事都有反應: 淡泊一點也無妨, 活出快意人生的99個禪練習! (限量暢銷特典版)",4711510763342 ,枡野俊明,,10012122082682800000000 
日本語GOGOGO 1 練習帳 (增訂版),9786269542109 ,財團法人語言訓練測驗中心,,1001129492682150000000 
區判: 品味與美學的知識漫畫,9786267645017 ,皮耶．布赫迪厄/ 蒂法恩．里维埃,,10012043902682800000000 
葬送的芙莉蓮 2,9789572666036 ,山田鐘人/ 原作; 阿部司,,1001129222682030000000 
