書名,作者,出版社,出版日期,ISBN,URL
全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）,修改,國際學村,2022/08/04,9789864542284,https://www.books.com.tw/products/0010929979
我在意的對象並不是男人 (3),修改,台灣角川,2026/02/05,9786264359948,https://www.books.com.tw/products/0011038584
漫畫易經【全新書衣版】,修改,晶冠出版社,2024/07/02,9786269725496,https://www.books.com.tw/products/0010993426
AI 研究寫作全攻略：NotebookLM × Gemini × ChatGPT × Perplexity,修改,旗標,2026/02/03,9789863128601,https://www.books.com.tw/products/0011044193
小書痴的下剋上FANBOOK(9)：為了成為圖書管理員不擇手段！,修改,皇冠,2026/02/09,9789573343882,https://www.books.com.tw/products/0011045032
ONE-PUNCH MAN 一拳超人 34,修改,東立,2026/01/22,9786260259945,https://www.books.com.tw/products/0011041339
活出你的本來面目：獻給現代人的榮格心靈指南：在有限的人生裡，活出此生的真正意義,修改,三采,2025/11/01,9786263587854,https://www.books.com.tw/products/0011034931
職安一點通｜職業安全衛生管理乙級檢定完勝攻略｜2026版(套書),修改,碁峰,2026/02/11,9786264252553,https://www.books.com.tw/products/0011044088
關於我在無意間被隔壁的天使變成廢柴這件事 (特裝版) 11.5,修改,東立,2026/02/05,9786260268268,https://www.books.com.tw/products/0011042695
非暴力溝通：愛的語言(全新修訂版),修改,光啟文化,2019/08/01,9789575469078,https://www.books.com.tw/products/0010831754
滿洲鴉片小隊(16),修改,尖端,2026/02/10,9786264347433,https://www.books.com.tw/products/0011044738
阿甘投資法：不看盤、不選股、不挑買點也能穩穩賺,修改,天下文化,2020/05/27,9789864799961,https://www.books.com.tw/products/0010858721
博客來,,,,,https://www.books.com.tw/products/0011044060
張忠謀自傳全集（上下冊）,修改,天下文化,2024/11/29,,https://www.books.com.tw/products/0011005571
零花費上手！Gemini 3 / NotebookLM / Nano Banana Pro / Veo 3.x 最強 AI 組合技，打造全能工作流,修改,旗標,2025/12/15,9789863128595,https://www.books.com.tw/products/0011039756
槓桿ETF投資法：用50正2輕鬆打敗0050＆0056，提早退休,修改,一心文化,2023/04/12,9786269612130,https://www.books.com.tw/products/0010953374
全新制20次多益滿分的怪物講師TOEIC多益單字+文法【隨身版】(附文法教學影片+「Youtor App」內含VRP虛擬點讀筆+防水書套),修改,不求人文化,2022/07/27,9786269559916,https://www.books.com.tw/products/0010931739
一個普通人如何守住財富與人生：畢德歐夫帶你搞懂資產配置、老後風險與代間傳承,修改,先覺,2026/03/01,9789861345666,https://www.books.com.tw/products/0011045886
颶光典籍五部曲：風與真實（上下冊套書）,修改,奇幻基地,2026/02/11,9786267749326,https://www.books.com.tw/products/0011044969
財商：不費力才會贏,修改,時報出版,2026/01/20,9786264440547,https://www.books.com.tw/products/0011041784
博客來,,,,,https://www.books.com.tw/products/0011041168
麵包小偷6：麵包小偷和蘋果假面超人,修改,采實文化,2025/12/25,9786264311076,https://www.books.com.tw/products/0011040109
博客來,,,,,https://www.books.com.tw/products/0011041167
博客來,,,,,https://www.books.com.tw/products/0011041166
博客來,,,,,https://www.books.com.tw/products/0011045264
葬送的芙莉蓮公式漫迷手冊 全,修改,東立,2026/01/15,9786260237530,https://www.books.com.tw/products/0011039892
與妳相戀到生命盡頭 8(首刷限定版),修改,東立,2025/12/12,9786260262754,https://www.books.com.tw/products/0011037310
青春之箱 (首刷限定版) 22,修改,東立,2026/02/24,9786260264864,https://www.books.com.tw/products/0011043050
日本語GOGOGO 1 練習帳 增訂版,修改,豪風,2022/03/30,9786269542109,https://www.books.com.tw/products/0010920454
情緒大飯店,修改,小典藏出版,2024/04/03,9786267430033,https://www.books.com.tw/products/0010985365
