書名,作者,原文作者,譯者,繪者,出版社,出版日期,ISBN,URL
我可能錯了：森林智者的最後一堂人生課,"卡洛琳．班克勒, 比約恩．納提科．林德布勞, 納維德．莫迪里, 郭騰堅, 托馬斯．桑切斯（Tomás Sánchez）",Björn Natthiko Lindeblad,Björn Natthiko Lindeblad,Björn Natthiko Lindeblad,先覺,2023/02/01,9789861344454,https://www.books.com.tw/products/0010947051
我在意的對象並不是男人 (3),"新井すみこ, 夜原優",,,,台灣角川,2026/02/05,9786264359948,https://www.books.com.tw/products/0011038584
SPY×FAMILY 間諜家家酒 16,"遠藤 達哉, 陳姿君",,陳姿君,,東立,2026/02/12,9786260264031,https://www.books.com.tw/products/0011042310
我們不可能成為戀人!絕對不行。 (※似乎可行?)短篇集 全,"みかみてれん, 陳柏伸",,陳柏伸,,東立,2026/02/12,9786260265700,https://www.books.com.tw/products/0011042323
從破產人生逆襲到財務自由：你一定要懂的財商真相，36個翻轉心法把人生找回來,李文森,Vincent Lee,,,時報出版,2026/02/10,9786264442312,https://www.books.com.tw/products/0011044006
FLASHLIGHT 1【特裝版】,YANGMA,,,,,,,https://www.books.com.tw/products/0011038515
愛我，直達深處 (首刷限定版) V,"百瀬あん, 洪湘雲",,,,,,,https://www.books.com.tw/products/0011042306
指數致富：普通人也能複製的長期致富法則,周岐原,,,,天下文化,2026/02/06,9786264177528,https://www.books.com.tw/products/0011044178
簡明 台灣人四百年史：圖文精華版,史明,,,史明,前衛,2017/11/01,9789578018273,https://www.books.com.tw/products/0010768686
AI 研究寫作全攻略：NotebookLM × Gemini × ChatGPT × Perplexity,"洪兆祥, 漫新知 (MINDWAY 教育品牌), 黃聖方",,,,旗標,2026/02/03,9789863128601,https://www.books.com.tw/products/0011044193
100天後盛開的百合,"ムロマキ, 陳思朵",,,,台灣角川,2026/02/05,9786264359986,https://www.books.com.tw/products/0011038498
擁有超常技能的異世界流浪美食家17 夏里亞賓肉排×孤島潛伏者 (首刷限定版) 17,"江口連, 黃則霖",,,,,,,https://www.books.com.tw/products/0011042327
全新!新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書!不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高!(附音檔下載QR碼),"David Cho, 張育菁, 許竹瑩",,許竹瑩,,國際學村,2022/08/04,9789864542284,https://www.books.com.tw/products/0010929979
鏈鋸人 21,"藤本樹, 吳勵誠",,吳勵誠,,東立,2026/01/16,9786260257149,https://www.books.com.tw/products/0011035312
獸人雙胞胎與少年Ω的條件婚約 (首刷限定版) 2,"羽純ハナ, 洪湘雲",,,,,,,https://www.books.com.tw/products/0011042308
日本語GOGOGO 1 增訂版,財團法人語言訓練測驗中心,,,,豪風,2021/09/29,9789860612684,https://www.books.com.tw/products/0010901320
GACHIAKUTA (首刷限定版) 16,"裏那 圭／晏童秀吉, 羅筱君",,,,,,,https://www.books.com.tw/products/0011042077
惡靈剋星 3 (首刷限定版),"新翔子, 羅筱君",,羅筱君,,東立,2025/06/13,9786260247140,https://www.books.com.tw/products/0011020795
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,"尼克．馬朱利, 李芳齡",Nick Maggiulli,Nick Maggiulli,,商業周刊,2023/05/30,9786267252710,https://www.books.com.tw/products/0010957881
獄卒克拉肯(05),"原作：タカヒロ/漫畫：戶流ケイ, 銘人不渝",,,,,,,https://www.books.com.tw/products/0011044212
ONE-PUNCH MAN 一拳超人 34,"ONE/村田雄介, 吳勵誠",,,,東立,2026/01/22,9786260259945,https://www.books.com.tw/products/0011041339
惡靈剋星 2 (首刷限定版),"新翔子, 羅筱君",,羅筱君,,東立,2025/04/01,9786260244835,https://www.books.com.tw/products/0011016568
零花費上手！Gemini 3 / NotebookLM / Nano Banana Pro / Veo 3.x 最強 AI 組合技，打造全能工作流,修改,,,,旗標,2025/12/15,9789863128595,https://www.books.com.tw/products/0011039756
絕叫【日本推理四大獎、現象級小說經典復活！】,修改,,林佩瑾,,圓神,2025/12/01,9789861339986,https://www.books.com.tw/products/0011037830
現在的是哪一個多聞！？ 7 首刷限定版,,,,,,,,https://www.books.com.tw/products/0011044025
愛日與新娘(03)END特典版,,,,,,,,https://www.books.com.tw/products/0011045088
惡靈剋星 4 (首刷限定版),修改,,羅筱君,,東立,2025/07/24,9786260249793,https://www.books.com.tw/products/0011023610
活出你的本來面目：獻給現代人的榮格心靈指南：在有限的人生裡，活出此生的真正意義,鐘穎,,,,三采,2025/11/01,9786263587854,https://www.books.com.tw/products/0011034931
麵包小偷6：麵包小偷和蘋果假面超人,"柴田啓子, 蘇懿禎",,蘇懿禎,,采實文化,2025/12/25,9786264311076,https://www.books.com.tw/products/0011040109
阿甘投資法：不看盤、不選股、不挑買點也能穩穩賺,闕又上,,,,天下文化,2020/05/27,9789864799961,https://www.books.com.tw/products/0010858721
漫畫易經【全新書衣版】,周春才,,,,晶冠出版社,2024/07/02,9786269725496,https://www.books.com.tw/products/0010993426
小美老師如是說 10,"鹿成 策 (原作)／無敵蘇打(漫畫), 蔡夢芳",,,,,,,https://www.books.com.tw/products/0011042686
張忠謀自傳全集(上下冊),張忠謀,,,,天下文化,2024/11/29,,https://www.books.com.tw/products/0011005571
葬送的芙莉蓮公式漫迷手冊 全,"山田 鐘人 (著)／阿部司 (著)／キャラメル・ママ (著), 里歐貝萊",,,,東立,2026/01/15,9786260237530,https://www.books.com.tw/products/0011039892
非暴力溝通：愛的語言(全新修訂版),"馬歇爾．盧森堡, 蕭寶森",,蕭寶森,,光啟文化,2019/08/01,9789575469078,https://www.books.com.tw/products/0010831754
別再騙自己：把日子過得更清醒的101個提示,"西蒙．吉勒姆, 七七, Happieslin",,,,,,,https://www.books.com.tw/products/0011030284
對你的承諾 (首刷限定版) 4,"南月ゆう, 蔡夢芳",,,,,,,https://www.books.com.tw/products/0011042319
寫進時間的故事【限量親簽版】(首刷附贈：寫時.明信片),許瑋甯,,,,,,,https://www.books.com.tw/products/0011044690
情緒大飯店,"莉迪亞．布蘭科維琪, 黃聿君",Lidia Branković,Lidia Branković,Lidia Branković,小典藏出版,2024/04/03,9786267430033,https://www.books.com.tw/products/0010985365
槓桿ETF投資法：用50正2輕鬆打敗0050&0056，提早退休,林政華（大仁）,,,,一心文化,2023/04/12,9786269612130,https://www.books.com.tw/products/0010953374
冠軍之路：2024世界棒球12強賽感動全紀錄【聯名電影書】(首刷贈熱血應援透卡組),"曾文誠, 陳祖安",,,,,,,https://www.books.com.tw/products/0011042761
薰香花朵凛然綻放 (首刷限定版) 16,"三香見SAKA, 羅筱君",,羅筱君,,東立,2026/03/02,9786260268589,https://www.books.com.tw/products/0011044665
日本語GOGOGO 1 練習帳 增訂版,財團法人語言訓練測驗中心,,,,豪風,2022/03/30,9786269542109,https://www.books.com.tw/products/0010920454
